age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary,country,country_target
60.8 - 75.4,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,≥ 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Separated,Machine-op-inspct,Own-child,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,HS-grad,Separated,Sales,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
< 31.6,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Adm-clerical,Own-child,Black,Male,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40.2 - 59.8,Canada,>50K,Canada,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,State-gov,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,HS-grad,Married-civ-spouse,Transport-moving,Own-child,Other,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
60.8 - 75.4,Self-emp-inc,HS-grad,Divorced,Sales,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
60.8 - 75.4,Local-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,≥ 79.4,Thailand,<=50K,Thailand,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Divorced,Machine-op-inspct,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,12th,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Separated,Transport-moving,Unmarried,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,11th,Married-civ-spouse,Other-service,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,< 20.6,England,<=50K,England,1
31.6 - 46.2,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
< 31.6,Private,10th,Never-married,Handlers-cleaners,Unmarried,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Sales,Unmarried,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,59.8 - 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,10th,Divorced,Other-service,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Other-relative,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
60.8 - 75.4,Private,HS-grad,Widowed,Farming-fishing,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
60.8 - 75.4,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,< 20.6,United-States,>50K,United-States,0
< 31.6,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Unmarried,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Sales,Own-child,Black,Female,< 20.6,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Assoc-acdm,Married-civ-spouse,Other-service,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Black,Male,59.8 - 79.4,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Other,Male,20.6 - 40.2,Ecuador,<=50K,Ecuador,0
60.8 - 75.4,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,12th,Never-married,Sales,Own-child,White,Female,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,10th,Never-married,Other-service,Not-in-family,White,Male,59.8 - 79.4,Mexico,<=50K,Mexico,0
< 31.6,Private,Some-college,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,59.8 - 79.4,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,20.6 - 40.2,Philippines,>50K,Philippines,0
31.6 - 46.2,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,≥ 79.4,United-States,>50K,United-States,0
31.6 - 46.2,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Assoc-voc,Separated,Exec-managerial,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Local-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
46.2 - 60.8,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Separated,Craft-repair,Unmarried,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
46.2 - 60.8,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,20.6 - 40.2,Vietnam,<=50K,Vietnam,0
46.2 - 60.8,Federal-gov,Some-college,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
46.2 - 60.8,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
60.8 - 75.4,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,< 20.6,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Widowed,Sales,Unmarried,White,Female,20.6 - 40.2,Mexico,<=50K,Mexico,0
46.2 - 60.8,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
60.8 - 75.4,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
< 31.6,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
60.8 - 75.4,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
≥ 75.4,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
< 31.6,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Handlers-cleaners,Other-relative,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,12th,Never-married,Adm-clerical,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,1st-4th,Widowed,Prof-specialty,Unmarried,White,Female,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Prof-school,Separated,Tech-support,Not-in-family,White,Male,40.2 - 59.8,Columbia,>50K,Columbia,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Tech-support,Wife,White,Female,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,59.8 - 79.4,Greece,<=50K,Greece,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Other-service,Other-relative,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Some-college,Widowed,Craft-repair,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Other-service,Not-in-family,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
< 31.6,Private,7th-8th,Never-married,Other-service,Not-in-family,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
46.2 - 60.8,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
60.8 - 75.4,Private,Some-college,Divorced,Priv-house-serv,Other-relative,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
60.8 - 75.4,Self-emp-not-inc,9th,Married-civ-spouse,Adm-clerical,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Sales,Own-child,White,Female,< 20.6,Mexico,<=50K,Mexico,0
< 31.6,Private,11th,Never-married,Other-service,Own-child,Black,Male,< 20.6,Haiti,<=50K,Haiti,0
< 31.6,Private,11th,Divorced,Handlers-cleaners,Other-relative,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
60.8 - 75.4,Private,10th,Widowed,Handlers-cleaners,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Assoc-acdm,Never-married,Sales,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
< 31.6,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Adm-clerical,Other-relative,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
< 31.6,Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Other-service,Own-child,White,Female,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,Japan,<=50K,Japan,0
